Soil;Indic;Period;kgC_kg;per_MO
TN;Q1;before;6.39230769230769;2.87653846153846
TN;med;before;7.29230769230769;3.28153846153846
TN;Q2;before;8.74615384615385;3.93576923076923
TN;Q1;after;5.18076923076923;2.33134615384615
TN;med;after;6.01153846153846;2.70519230769231
TN;Q2;after;7.08461538461539;3.18807692307692
AC;Q1;before;5.66538461538462;2.51794871794872
AC;med;before;6.73846153846154;2.99487179487179
AC;Q2;before;8.19230769230769;3.64102564102564
AC;Q1;after;4.38461538461539;1.94871794871795
AC;med;after;5.35384615384615;2.37948717948718
AC;Q2;after;6.25384615384615;2.77948717948718
All;Q1;before;4.24615384615385;1.79837104072398
All;med;before;5.45769230769231;2.31149321266968
All;Q2;before;6.94615384615385;2.94190045248869
All;Q1;after;3.34615384615385;1.41719457013575
All;med;after;4.17692307692308;1.76904977375566
All;Q2;after;5.14615384615385;2.17954751131222
